sample_index,paper_id,record_id,_stage,_stratum,kind,relevance,granularity,is_model_result,in_series,figure_number,fig_docling_index,panel,series_name,coordinate,measurand,n_points,has_context_conflicts,created_by_granularity_migration,has_pressure,has_temperature,has_pulse_time,has_purge_time,has_cycle_count,has_geometry
107,10.1116_6.0002436,10.1116_6.0002436-F5a-16,quota_per_paper,unresolved_experiment_record|experimental,unresolved_experiment_record,experimental,unresolved,False,,5,23,a,sample: 100°C (O 1s C),Binding Energy,Counts/s,10,False,False,True,False,False,False,False,False
108,10.1116_6.0002804,10.1116_6.0002804-1a-S0-P005,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1116_6.0002804-1a-S0,1,17,a,,pulse_time,growth_per_cycle,1,False,True,False,True,True,False,False,False
109,10.1116_6.0002804,10.1116_6.0002804-1b-S1-P009,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1116_6.0002804-1b-S1,1,17,b,,pulse_time,growth_per_cycle,1,False,True,False,True,True,False,False,False
110,10.1116_6.0002804,10.1116_6.0002804-3a-S8-P001,quota_per_paper,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1116_6.0002804-3a-S8,3,20,a,series: Thickness,cycle_number,film_thickness,1,False,True,False,False,False,False,True,False
111,10.1116_6.0002804,10.1116_6.0002804-5-S14-P002,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1116_6.0002804-5-S14,5,23,,element: O,deposition_temperature,Concentration (atoms/cm^3),1,False,True,False,True,False,False,False,False
112,10.1116_6.0002804,10.1116_6.0002804-5-S9-P002,quota_per_paper,condition_axis|experimental,series_member_experiment,experimental,single,False,10.1116_6.0002804-5-S9,5,23,,,deposition_temperature,Composition (at%),1,False,True,False,True,False,False,False,False
113,10.1186_s11671-015-0872-9,10.1186_s11671-015-0872-9-F3a-0,quota_per_paper,unresolved_experiment_record|experimental,unresolved_experiment_record,experimental,unresolved,False,,3,4,a,series: XRD profile,2 Theta,intensity,51,True,False,True,True,True,True,False,True
114,10.3762_bjnano.14.89,10.3762_bjnano.14.89-4a-S1-P005,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.3762_bjnano.14.89-4a-S1,4,5,a,,cycle_number,growth_per_cycle,1,False,True,False,True,True,False,True,False
115,10.3762_bjnano.14.89,10.3762_bjnano.14.89-7a-S4-P008,proportional,condition_axis|experimental,series_member_experiment,experimental,single,False,10.3762_bjnano.14.89-7a-S4,7,8,a,,deposition_temperature,impurity_content,1,False,True,False,True,True,False,False,False
116,10.3762_bjnano.14.89,10.3762_bjnano.14.89-F10b-19,quota_per_paper,unresolved_experiment_record|experimental,unresolved_experiment_record,experimental,unresolved,False,,10,11,b,deposition temperature: 500 °C,binding energy,intensity,12,False,False,False,True,True,False,False,False
117,10.3762_bjnano.14.89,10.3762_bjnano.14.89-F8a-14,quota_per_paper,unresolved_experiment_record|experimental,unresolved_experiment_record,experimental,unresolved,False,,8,9,a,growth temperature: 225 °C,2Θ,intensity,9,False,False,False,True,True,False,False,False
118,10.3762_bjnano.5.25,10.3762_bjnano.5.25-F3c-4,quota_per_paper,coordinate_axis|model,profile_experiment,model,profile,True,,3,3,c,exposure time: 10ms,spatial_coordinate,growth_per_cycle,7,False,False,False,False,True,False,False,True
119,10.3762_bjnano.5.25,10.3762_bjnano.5.25-F5b-33,quota_per_paper,coordinate_axis|model,profile_experiment,model,profile,True,,5,5,b,cycle_number: 100 cycles,spatial_coordinate,film_thickness,10,False,False,False,False,False,False,True,True
120,10.3762_bjnano.5.25,10.3762_bjnano.5.25-F6b-34,proportional,coordinate_axis|experimental,profile_experiment,experimental,profile,False,,6,6,b,number of cycles: 400 cycles,spatial_coordinate,film_thickness,14,False,False,False,False,False,False,True,True
