paper,candidate_a,candidate_b,figure_a,panel_a,figure_b,panel_b,design_id_a,design_id_b,varied_quantity_a,varied_quantity_b,branch_value_a,branch_value_b,link_class,action,strength,reason
10.1149_2.067203jes,CAND-10.114-091,CAND-10.114-099,5,a,5,b,DES::10.1149_2.067203jes::F5a::deposition_temperature,DES::10.1149_2.067203jes::F5b::deposition_temperature,deposition_temperature,deposition_temperature,350.0,350.0,SUPPORTED,MERGED,SUPPORTED,panels a/b of figure 5 plot different outputs at the same design branch deposition_temperature = 350 °C
10.1149_2.067203jes,CAND-10.114-092,CAND-10.114-100,5,a,5,b,DES::10.1149_2.067203jes::F5a::deposition_temperature,DES::10.1149_2.067203jes::F5b::deposition_temperature,deposition_temperature,deposition_temperature,400.0,400.0,SUPPORTED,MERGED,SUPPORTED,panels a/b of figure 5 plot different outputs at the same design branch deposition_temperature = 400 °C
10.1039_d0cp03358h,CAND-10.103-122,CAND-10.103-121,,,,,,,,,,,EXPLICIT,MERGED,EXPLICIT,explicit 'same_sample' citing figure 3
10.1039_d0cp03358h,CAND-10.103-125,CAND-10.103-131,,,,,,,,,,,EXPLICIT,MERGED,EXPLICIT,both results are measured on specimen '4'
10.1039_d0cp03358h,CAND-10.103-126,CAND-10.103-132,,,,,,,,,,,EXPLICIT,MERGED,EXPLICIT,both results are measured on specimen '8'
10.1039_d0cp03358h,CAND-10.103-126,CAND-10.103-135,,,,,,,,,,,EXPLICIT,MERGED,EXPLICIT,both results are measured on specimen '8'
10.1039_d0cp03358h,CAND-10.103-127,CAND-10.103-132,,,,,,,,,,,EXPLICIT,MERGED,EXPLICIT,both results are measured on specimen '8'
10.1039_d0cp03358h,CAND-10.103-127,CAND-10.103-135,,,,,,,,,,,EXPLICIT,ALREADY_LINKED,EXPLICIT,
10.1039_d0cp03358h,CAND-10.103-128,CAND-10.103-132,,,,,,,,,,,EXPLICIT,MERGED,EXPLICIT,both results are measured on specimen '8'
10.1039_d0cp03358h,CAND-10.103-128,CAND-10.103-135,,,,,,,,,,,EXPLICIT,ALREADY_LINKED,EXPLICIT,
10.1039_d0cp03358h,CAND-10.103-129,CAND-10.103-132,,,,,,,,,,,EXPLICIT,MERGED,EXPLICIT,both results are measured on specimen '8'
10.1039_d0cp03358h,CAND-10.103-129,CAND-10.103-135,,,,,,,,,,,EXPLICIT,ALREADY_LINKED,EXPLICIT,
10.1039_d0cp03358h,CAND-10.103-132,CAND-10.103-135,,,,,,,,,,,EXPLICIT,ALREADY_LINKED,EXPLICIT,
10.1039_d0cp03358h,CAND-10.103-123,CAND-10.103-124,,,,,,,,,,,SUPPORTED,MERGED,SUPPORTED,"specimens of Series B differ only in 'reflectometer_magnification', an instrument setting; every case-defining column of the paper's specimen table is equal"
10.1039_d0cp03358h,CAND-10.103-123,CAND-10.103-124,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-123,CAND-10.103-125,,,,,,,,,,,SUPPORTED,MERGED,SUPPORTED,"specimens of Series B differ only in 'reflectometer_magnification', an instrument setting; every case-defining column of the paper's specimen table is equal"
10.1039_d0cp03358h,CAND-10.103-123,CAND-10.103-125,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-123,CAND-10.103-126,,,,,,,,,,,SUPPORTED,MERGED,SUPPORTED,specimens 6 and 8 have identical deposition-defining conditions in the paper's own specimen table
10.1039_d0cp03358h,CAND-10.103-123,CAND-10.103-127,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-123,CAND-10.103-128,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-123,CAND-10.103-129,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-123,CAND-10.103-130,,,,,,,,,,,SUPPORTED,MERGED,SUPPORTED,specimens 6 and 2 have identical deposition-defining conditions in the paper's own specimen table
10.1039_d0cp03358h,CAND-10.103-123,CAND-10.103-131,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-123,CAND-10.103-132,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-123,CAND-10.103-133,,,,,,,,,,,SUPPORTED,MERGED,SUPPORTED,specimens 6 and 12 have identical deposition-defining conditions in the paper's own specimen table
10.1039_d0cp03358h,CAND-10.103-123,CAND-10.103-135,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-124,CAND-10.103-125,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-124,CAND-10.103-125,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-124,CAND-10.103-126,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-124,CAND-10.103-127,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-124,CAND-10.103-128,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-124,CAND-10.103-129,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-124,CAND-10.103-130,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-124,CAND-10.103-131,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-124,CAND-10.103-132,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-124,CAND-10.103-133,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-124,CAND-10.103-135,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-125,CAND-10.103-126,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-125,CAND-10.103-127,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-125,CAND-10.103-128,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-125,CAND-10.103-129,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-125,CAND-10.103-130,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-125,CAND-10.103-132,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-125,CAND-10.103-133,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-125,CAND-10.103-135,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-126,CAND-10.103-130,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-126,CAND-10.103-131,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-126,CAND-10.103-133,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-127,CAND-10.103-130,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-127,CAND-10.103-131,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-127,CAND-10.103-133,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-128,CAND-10.103-130,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-128,CAND-10.103-131,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-128,CAND-10.103-133,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-129,CAND-10.103-130,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-129,CAND-10.103-131,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-129,CAND-10.103-133,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-130,CAND-10.103-131,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-130,CAND-10.103-132,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-130,CAND-10.103-133,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-130,CAND-10.103-135,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-131,CAND-10.103-132,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-131,CAND-10.103-133,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-131,CAND-10.103-135,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-132,CAND-10.103-133,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
10.1039_d0cp03358h,CAND-10.103-133,CAND-10.103-135,,,,,,,,,,,SUPPORTED,ALREADY_LINKED,SUPPORTED,
