paper,source_a,source_b,link_class,verdict,strength,positive_evidence,material_compatible,process_step_compatible,varied_quantity_compatible,condition_contradiction,contradiction_detail,decision_status,decision_note,a_case_id,b_case_id,superseded_conditions,reason
10.1149_2.067203jes,CAND-10.114-048,CAND-10.114-070,DESIGN_IDENTITY,BLOCKED,SUPPORTED,-,BLOCKED,ok,ok,none,-,DESIGN_IDENTITY_BLOCK,-,CASE-10.114-007,CASE-10.114-029,-,same branch value 0.05 in figure 4 but not the same design: material differs: 'SiO2' vs 'Al2O3'
10.1149_2.067203jes,CAND-10.114-058,CAND-10.114-075,DESIGN_IDENTITY,BLOCKED,SUPPORTED,-,BLOCKED,ok,ok,none,-,DESIGN_IDENTITY_BLOCK,-,CASE-10.114-017,CASE-10.114-034,-,same branch value 0.5 in figure 4 but not the same design: material differs: 'SiO2' vs 'Al2O3'
10.1149_2.067203jes,CAND-10.114-059,CAND-10.114-076,DESIGN_IDENTITY,BLOCKED,SUPPORTED,-,BLOCKED,ok,ok,none,-,DESIGN_IDENTITY_BLOCK,-,CASE-10.114-018,CASE-10.114-035,-,same branch value 1 in figure 4 but not the same design: material differs: 'SiO2' vs 'Al2O3'
10.1149_2.067203jes,CAND-10.114-060,CAND-10.114-077,DESIGN_IDENTITY,BLOCKED,SUPPORTED,-,BLOCKED,ok,ok,none,-,DESIGN_IDENTITY_BLOCK,-,CASE-10.114-019,CASE-10.114-036,-,same branch value 2 in figure 4 but not the same design: material differs: 'SiO2' vs 'Al2O3'
10.1149_2.067203jes,CAND-10.114-061,CAND-10.114-078,DESIGN_IDENTITY,BLOCKED,SUPPORTED,-,BLOCKED,ok,ok,none,-,DESIGN_IDENTITY_BLOCK,-,CASE-10.114-020,CASE-10.114-037,-,same branch value 3 in figure 4 but not the same design: material differs: 'SiO2' vs 'Al2O3'
10.1149_2.067203jes,CAND-10.114-062,CAND-10.114-080,DESIGN_IDENTITY,BLOCKED,SUPPORTED,-,BLOCKED,ok,ok,none,-,DESIGN_IDENTITY_BLOCK,-,CASE-10.114-021,CASE-10.114-039,-,same branch value 5 in figure 4 but not the same design: material differs: 'SiO2' vs 'Al2O3'
10.1149_2.067203jes,CAND-10.114-051,CAND-10.114-063,DESIGN_IDENTITY,BLOCKED,SUPPORTED,-,ok,BLOCKED,ok,none,-,DESIGN_IDENTITY_BLOCK,-,CASE-10.114-010,CASE-10.114-022,-,same branch value 0.5 in figure 4 but not the same design: step differs: 'precursor_purge' vs 'plasma_purge'
10.1149_2.067203jes,CAND-10.114-051,CAND-10.114-082,DESIGN_IDENTITY,BLOCKED,SUPPORTED,-,ok,BLOCKED,ok,none,-,DESIGN_IDENTITY_BLOCK,-,CASE-10.114-010,CASE-10.114-041,-,same branch value 0.5 in figure 4 but not the same design: step differs: 'precursor_purge' vs 'plasma_purge'
10.1149_2.067203jes,CAND-10.114-063,CAND-10.114-082,DESIGN_IDENTITY,BLOCKED,SUPPORTED,-,BLOCKED,ok,ok,none,-,DESIGN_IDENTITY_BLOCK,-,CASE-10.114-022,CASE-10.114-041,-,same branch value 0.5 in figure 4 but not the same design: material differs: 'SiO2' vs 'Al2O3'
10.1149_2.067203jes,CAND-10.114-052,CAND-10.114-064,DESIGN_IDENTITY,BLOCKED,SUPPORTED,-,ok,BLOCKED,ok,none,-,DESIGN_IDENTITY_BLOCK,-,CASE-10.114-011,CASE-10.114-023,-,same branch value 1 in figure 4 but not the same design: step differs: 'precursor_purge' vs 'plasma_purge'
10.1149_2.067203jes,CAND-10.114-052,CAND-10.114-083,DESIGN_IDENTITY,BLOCKED,SUPPORTED,-,ok,BLOCKED,ok,none,-,DESIGN_IDENTITY_BLOCK,-,CASE-10.114-011,CASE-10.114-042,-,same branch value 1 in figure 4 but not the same design: step differs: 'precursor_purge' vs 'plasma_purge'
10.1149_2.067203jes,CAND-10.114-064,CAND-10.114-083,DESIGN_IDENTITY,BLOCKED,SUPPORTED,-,BLOCKED,ok,ok,none,-,DESIGN_IDENTITY_BLOCK,-,CASE-10.114-023,CASE-10.114-042,-,same branch value 1 in figure 4 but not the same design: material differs: 'SiO2' vs 'Al2O3'
